"1. Interest rates of deposit-taking corporations (excluding National Bank of Ukraine) on loans (new business), breakdown by regions 
and sectors of economy",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,None.1,None.2,retrieved
,,over 5 years,12.3393,0,0,20.2366,12.3181,0,0,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,26.7135,0,0,19.3946,36.7413,74,40.7817,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,22.5967,0,0,18.5861,36.6447,74,40.7629,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,27.7816,0,0,19.7047,36.7531,0,40.8,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,30.5315,0,0,20.6727,37.0186,0,40.8,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,20.7363,0,0,18.5453,36.1692,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,12.3393,0,0,20.2366,12.3181,0,0,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,5.7164,0,0,4.6,47.279,0,36.5,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,47.279,0,0,0,47.279,0,36.5,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,4.6,0,0,4.6,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,4.6,0,0,4.6,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
Luhansk,,,30.6408,0,0,12.3037,38.3057,0,36.1888,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,13.5454,0,0,12.0457,37.7633,0,0,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,38.2189,0,0,25.7344,38.3198,0,36.1888,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,38.2227,0,0,25.8501,38.3218,0,36.1888,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,38.5382,0,0,17.7,39.0238,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,16.2591,0,0,0,16.2591,0,0,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,30.6407,0,0,12.3037,38.3056,0,36.1888,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,13.545,0,0,12.0457,37.7596,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,38.2189,0,0,25.7344,38.3198,0,36.1888,,,,,,,,"01/05/2023, 16:39:11"
